ID,Purchase_Amount,Account_Type,Retailer,Transaction_Date,AccountNumber
56735,25.598478190000002,bank_account,Seneca,2020-12-02 00:00:00.0000000,60-43321
56736,34.051502139999997,bank_account,Rivers Restaurant,2020-12-15 00:00:00.0000000,43-43321
56737,13.684061789999999,bank_account,Fenwick,2020-12-24 00:00:00.0000000,24-63342
56738,22.18674287,bank_account,Amazon,2020-12-27 00:00:00.0000000,34-43321
56739,33.73847739,bank_account,Sobeys,2020-12-10 00:00:00.0000000,23-63342
56740,79.552473559999996,bank_account,Campbell Variety,2020-12-26 00:00:00.0000000,64-43321
56741,30.20732216,credit_card,Safeway,2020-12-25 00:00:00.0000000,30-63342
56742,4.1335065589999997,credit_card,Red House,2020-12-16 00:00:00.0000000,60-63342
56743,6.1123722320000002,bank_account,Shoppers Drug Mart,2020-12-24 00:00:00.0000000,43-63342
56744,43.058274789999999,credit_card,Fidelity Investments,2020-12-07 00:00:00.0000000,39-43321
56745,8.3731483670000006,bank_account,Mary Brown's,2020-12-05 00:00:00.0000000,66-63342
56746,14.245889569999999,bank_account,A&W,2020-12-16 00:00:00.0000000,34-43321
56747,24.37545909,credit_card,Super Save Gas,2020-12-15 00:00:00.0000000,29-43321
56748,6.1680743920000003,credit_card,The Clubhouse,2020-12-27 00:00:00.0000000,49-63342
56749,11.189994799999999,bank_account,Fortino's,2020-12-02 00:00:00.0000000,58-43321
56750,10.46530768,bank_account,Duffy's Tavern And Motor Inn,2020-12-05 00:00:00.0000000,23-43321
56751,53.763277420000001,bank_account,National Sports,2020-12-17 00:00:00.0000000,32-43321
56752,3.5329110300000002,credit_card,Paul's Kitchen,2020-12-05 00:00:00.0000000,46-43321
56753,25.75638854,credit_card,Sport-Chek International,2020-12-21 00:00:00.0000000,27-63342
56754,8.6927498249999999,bank_account,Saks Off 5th,2020-12-07 00:00:00.0000000,27-63342
56755,27.590203679999998,credit_card,H&M,2020-12-14 00:00:00.0000000,70-63342
56756,12.60342348,bank_account,Fairweather,2020-12-06 00:00:00.0000000,60-63342
56757,25.483633399999999,bank_account,Staples,2020-12-25 00:00:00.0000000,35-43321
56758,5.7250381709999996,bank_account,Mandarin Restaurant,2020-12-24 00:00:00.0000000,41-63342
56759,6.6951884159999997,credit_card,Checker Cabs Ltd,2020-12-15 00:00:00.0000000,54-43321
56760,16.367484340000001,bank_account,Sunoco,2020-12-30 00:00:00.0000000,53-63342
56761,2.902832176,credit_card,Critter Jungle,2020-12-27 00:00:00.0000000,27-63342
56762,38.558092109999997,bank_account,India Bazaar,2020-12-19 00:00:00.0000000,40-43321
56763,9.2028958010000004,credit_card,Rona,2020-12-21 00:00:00.0000000,44-63342
56764,32.645013480000003,bank_account,Perfect Plate,2020-12-17 00:00:00.0000000,29-63342
56765,19.392448229999999,bank_account,Kaspersky Lab,2020-12-17 00:00:00.0000000,61-63342
56766,3.4737190099999999,bank_account,Canadian Tire Store,2020-12-15 00:00:00.0000000,31-43321
56767,6.5035659050000003,credit_card,I Tunes,2020-12-27 00:00:00.0000000,51-43321
56768,28.219264840000001,credit_card,Rabba Fine Foods,2020-12-24 00:00:00.0000000,44-43321
56769,45.00886388,bank_account,Holt Renfrew,2020-12-11 00:00:00.0000000,53-63342
56770,18.370963710000002,credit_card,I Tunes,2020-12-16 00:00:00.0000000,24-43321
56771,43.238495180000001,bank_account,Gateway Restaurant,2020-12-04 00:00:00.0000000,33-43321
56772,33.652836450000002,bank_account,Shell,2020-12-16 00:00:00.0000000,56-63342
56773,15.298930179999999,credit_card,Husky,2020-12-20 00:00:00.0000000,31-63342
56774,60.97828792,bank_account,Rw &amp; Co,2020-12-27 00:00:00.0000000,52-43321
56775,85.93381823,bank_account,TELUS,2020-12-17 00:00:00.0000000,38-43321
56776,0.65998998499999995,bank_account,Kuo Hua Trading,2020-12-30 00:00:00.0000000,52-63342
56777,15.079890260000001,bank_account,Critter Jungle,2020-12-15 00:00:00.0000000,66-43321
56778,19.902701,bank_account,Atlas Pizza,2020-12-16 00:00:00.0000000,28-43321
56779,2.2987611499999998,bank_account,Arby's,2020-12-16 00:00:00.0000000,36-43321
56780,19.583686920000002,bank_account,Desert Cab,2020-12-20 00:00:00.0000000,36-43321
56781,9.2116512529999994,bank_account,Basha Restaurant,2020-12-07 00:00:00.0000000,66-43321
56782,6.9155999279999998,bank_account,Tim Hortons,2020-12-18 00:00:00.0000000,21-63342
56783,12.12075027,bank_account,Wendy's,2020-12-25 00:00:00.0000000,24-43321
56784,47.301063599999999,bank_account,CAA,2020-12-27 00:00:00.0000000,23-63342
56785,4.0531201240000003,credit_card,Desert Cab,2020-12-06 00:00:00.0000000,25-63342
56786,6.2758562830000004,bank_account,Staples,2020-12-17 00:00:00.0000000,41-43321
56787,8.1558336610000008,credit_card,Gucci,2020-12-11 00:00:00.0000000,43-43321
56788,57.391776159999999,credit_card,7 Eleven,2020-12-06 00:00:00.0000000,50-63342
56789,10.456194289999999,bank_account,Rogers,2020-12-15 00:00:00.0000000,31-63342
56790,15.263895809999999,bank_account,Evo Car Share,2020-12-27 00:00:00.0000000,62-43321
56791,16.28128293,bank_account,Plaza Food Mart,2020-12-09 00:00:00.0000000,26-63342
56792,1.8392913980000001,credit_card,Mary Brown's,2020-12-22 00:00:00.0000000,64-43321
56793,27.39816699,bank_account,Checker Cabs Ltd,2020-12-15 00:00:00.0000000,44-43321
56794,0.57013635200000001,bank_account,Food Basics,2020-12-25 00:00:00.0000000,38-43321
56795,35.400955690000004,bank_account,Pharma Sense,2020-12-11 00:00:00.0000000,40-63342
56796,2.7666232019999999,credit_card,Zen Gardens,2020-12-27 00:00:00.0000000,37-63342
56797,6.1589513509999998,credit_card,Amazon,2020-12-24 00:00:00.0000000,33-43321
56798,7.1908830330000004,credit_card,Esso,2020-12-11 00:00:00.0000000,39-43321
56799,5.3368131940000003,bank_account,Wendy's,2020-12-10 00:00:00.0000000,35-43321
56800,6.4454354289999998,bank_account,Lucky Dragon,2020-12-27 00:00:00.0000000,33-63342
56801,8.2042019839999991,credit_card,Metro,2020-12-25 00:00:00.0000000,70-63342
56802,16.8994368,credit_card,Bayview Variety,2020-12-23 00:00:00.0000000,42-43321
56803,13.84004354,bank_account,Harry's,2020-12-28 00:00:00.0000000,57-63342
56804,13.5845863,bank_account,Mac's Convenience Store,2020-12-12 00:00:00.0000000,24-43321
56805,16.846491790000002,bank_account,Amazon,2020-12-19 00:00:00.0000000,52-43321
56806,24.44303562,credit_card,H&M,2020-12-26 00:00:00.0000000,50-43321
56807,8.4954122890000008,credit_card,Tops Markets,2020-12-31 00:00:00.0000000,50-43321
56808,4.5186780659999997,bank_account,East Side Mario's,2020-12-14 00:00:00.0000000,39-43321
56809,5.9183655140000004,bank_account,HarbourFront,2020-12-22 00:00:00.0000000,44-43321
56810,30.128252,credit_card,Esso,2020-12-17 00:00:00.0000000,41-63342
56811,15.203832759999999,bank_account,Carnival,2020-12-26 00:00:00.0000000,50-63342
56812,5.8001362500000004,bank_account,Min A Mart,2020-12-25 00:00:00.0000000,53-43321
56813,27.141245099999999,credit_card,Marriott,2020-12-30 00:00:00.0000000,33-43321
56814,58.494509690000001,credit_card,Microsoft,2020-12-07 00:00:00.0000000,25-43321
56815,2.772563152,credit_card,Tim Hortons,2020-12-21 00:00:00.0000000,43-63342
56816,47.627201550000002,credit_card,Circle K,2020-12-11 00:00:00.0000000,38-43321
56817,6.0945021219999997,bank_account,Little Caesars,2020-12-11 00:00:00.0000000,21-43321
56818,9.7529191379999993,credit_card,Mr Greek,2020-12-21 00:00:00.0000000,44-43321
56819,38.147273239999997,bank_account,Echoage,2020-12-27 00:00:00.0000000,45-43321
56820,28.936868480000001,bank_account,Indigo,2020-12-20 00:00:00.0000000,22-43321
56821,4.6204721590000002,bank_account,Lily Thai Restaurant,2020-12-05 00:00:00.0000000,47-63342
56822,8.6609341010000005,bank_account,Club Monaco,2020-12-02 00:00:00.0000000,31-63342
56823,9.4406751559999993,credit_card,Rocco's,2020-12-19 00:00:00.0000000,41-43321
56824,3.188570221,bank_account,Tim Hortons,2020-12-21 00:00:00.0000000,42-43321
56825,13.65342182,bank_account,Ardene,2020-12-24 00:00:00.0000000,38-43321
56826,28.864589280000001,credit_card,Walmart,2020-12-04 00:00:00.0000000,25-63342
56827,38.421631609999999,credit_card,Zarkys,2020-12-26 00:00:00.0000000,33-43321
56828,3.0376155210000002,bank_account,Tim Hortons,2020-12-14 00:00:00.0000000,30-43321
56829,87.330847309999996,bank_account,Sheridan College,2020-12-03 00:00:00.0000000,35-43321
56830,10.12017642,bank_account,Star Noodle,2020-12-03 00:00:00.0000000,68-63342
